frame,x,y,r,roi_x1,roi_y1,roi_x2,roi_y2
0,562,118,9.962529182434082,0,0,1920,1080
1,494,115,11.401854515075684,382,0,742,298
2,494,115,11.401854515075684,314,0,674,295
3,494,115,11.401854515075684,314,0,674,295
4,494,115,11.401854515075684,314,0,674,295
5,494,115,11.401854515075684,314,0,674,295
6,494,115,11.401854515075684,314,0,674,295
7,494,115,11.401854515075684,314,0,674,295
8,494,115,11.401854515075684,314,0,674,295
9,494,115,11.401854515075684,314,0,674,295
10,494,115,11.401854515075684,314,0,674,295
11,494,115,11.401854515075684,314,0,674,295
12,494,115,11.401854515075684,314,0,674,295
13,494,115,11.401854515075684,314,0,674,295
14,494,115,11.401854515075684,314,0,674,295
15,494,115,11.401854515075684,314,0,674,295
16,494,115,11.401854515075684,314,0,674,295
17,494,115,11.401854515075684,314,0,674,295
18,494,115,11.401854515075684,314,0,674,295
19,494,115,11.401854515075684,314,0,674,295
20,494,115,11.401854515075684,314,0,674,295
21,494,115,11.401854515075684,314,0,674,295
22,494,115,11.401854515075684,314,0,674,295
23,494,115,11.401854515075684,314,0,674,295
24,494,115,11.401854515075684,314,0,674,295
25,494,115,11.401854515075684,314,0,674,295
26,494,115,11.401854515075684,314,0,674,295
27,494,115,11.401854515075684,314,0,674,295
28,494,115,11.401854515075684,314,0,674,295
29,494,115,11.401854515075684,314,0,674,295
30,494,115,11.401854515075684,314,0,674,295
31,494,115,11.401854515075684,314,0,674,295
32,494,115,11.401854515075684,314,0,674,295
33,494,115,11.401854515075684,314,0,674,295
34,494,115,11.401854515075684,314,0,674,295
35,494,115,11.401854515075684,314,0,674,295
36,494,115,11.401854515075684,314,0,674,295
37,494,115,11.401854515075684,314,0,674,295
38,494,115,11.401854515075684,314,0,674,295
39,494,115,11.401854515075684,314,0,674,295
40,494,115,11.401854515075684,314,0,674,295
41,494,115,11.401854515075684,314,0,674,295
42,494,115,11.401854515075684,314,0,674,295
43,494,115,11.401854515075684,314,0,674,295
44,494,115,11.401854515075684,314,0,674,295
45,494,115,11.401854515075684,314,0,674,295
46,494,115,11.401854515075684,314,0,674,295
47,494,115,11.401854515075684,314,0,674,295
48,494,115,11.401854515075684,314,0,674,295
49,494,115,11.401854515075684,314,0,674,295
50,494,115,11.401854515075684,314,0,674,295
51,494,115,11.401854515075684,314,0,674,295
52,494,115,11.401854515075684,314,0,674,295
53,494,115,11.401854515075684,314,0,674,295
54,494,115,11.401854515075684,314,0,674,295
55,494,115,11.401854515075684,314,0,674,295
56,494,115,11.401854515075684,314,0,674,295
57,494,115,11.401854515075684,314,0,674,295
58,494,115,11.401854515075684,314,0,674,295
59,494,115,11.401854515075684,314,0,674,295
60,494,115,11.401854515075684,314,0,674,295
61,494,115,11.401854515075684,314,0,674,295
62,494,115,11.401854515075684,314,0,674,295
63,494,115,11.401854515075684,314,0,674,295
64,494,115,11.401854515075684,314,0,674,295
65,494,115,11.401854515075684,314,0,674,295
66,494,115,11.401854515075684,314,0,674,295
67,494,115,11.401854515075684,314,0,674,295
68,494,115,11.401854515075684,314,0,674,295
69,494,115,11.401854515075684,314,0,674,295
70,494,115,11.401854515075684,314,0,674,295
71,494,115,11.401854515075684,314,0,674,295
72,494,115,11.401854515075684,314,0,674,295
73,494,115,11.401854515075684,314,0,674,295
74,494,115,11.401854515075684,314,0,674,295
75,494,115,11.401854515075684,314,0,674,295
76,494,115,11.401854515075684,314,0,674,295
77,494,115,11.401854515075684,314,0,674,295
78,494,115,11.401854515075684,314,0,674,295
79,494,115,11.401854515075684,314,0,674,295
80,494,115,11.401854515075684,314,0,674,295
81,494,115,11.401854515075684,314,0,674,295
82,494,115,11.401854515075684,314,0,674,295
83,494,115,11.401854515075684,314,0,674,295
84,494,115,11.401854515075684,314,0,674,295
85,494,115,11.401854515075684,314,0,674,295
86,494,115,11.401854515075684,314,0,674,295
87,494,115,11.401854515075684,314,0,674,295
88,494,115,11.401854515075684,314,0,674,295
89,494,115,11.401854515075684,314,0,674,295
90,494,115,11.401854515075684,314,0,674,295
91,494,115,11.401854515075684,314,0,674,295
92,494,115,11.401854515075684,314,0,674,295
93,494,115,11.401854515075684,314,0,674,295
94,494,115,11.401854515075684,314,0,674,295
95,494,115,11.401854515075684,314,0,674,295
96,494,115,11.401854515075684,314,0,674,295
97,494,115,11.401854515075684,314,0,674,295
98,494,115,11.401854515075684,314,0,674,295
99,494,115,11.401854515075684,314,0,674,295
100,494,115,11.401854515075684,314,0,674,295
101,494,115,11.401854515075684,314,0,674,295
102,494,115,11.401854515075684,314,0,674,295
103,494,115,11.401854515075684,314,0,674,295
104,494,115,11.401854515075684,314,0,674,295
105,494,115,11.401854515075684,314,0,674,295
106,494,115,11.401854515075684,314,0,674,295
107,494,115,11.401854515075684,314,0,674,295
108,494,115,11.401854515075684,314,0,674,295
109,494,115,11.401854515075684,314,0,674,295
110,494,115,11.401854515075684,314,0,674,295
111,494,115,11.401854515075684,314,0,674,295
112,494,115,11.401854515075684,314,0,674,295
113,494,115,11.401854515075684,314,0,674,295
114,494,115,11.401854515075684,314,0,674,295
115,494,115,11.401854515075684,314,0,674,295
116,494,115,11.401854515075684,314,0,674,295
117,494,115,11.401854515075684,314,0,674,295
118,494,115,11.401854515075684,314,0,674,295
119,494,115,11.401854515075684,314,0,674,295
120,494,115,11.401854515075684,314,0,674,295
121,494,115,11.401854515075684,314,0,674,295
122,494,115,11.401854515075684,314,0,674,295
123,494,115,11.401854515075684,314,0,674,295
124,494,115,11.401854515075684,314,0,674,295
125,494,115,11.401854515075684,314,0,674,295
126,494,115,11.401854515075684,314,0,674,295
127,494,115,11.401854515075684,314,0,674,295
128,494,115,11.401854515075684,314,0,674,295
129,494,115,11.401854515075684,314,0,674,295
130,494,115,11.401854515075684,314,0,674,295
131,494,115,11.401854515075684,314,0,674,295
132,494,115,11.401854515075684,314,0,674,295
133,494,115,11.401854515075684,314,0,674,295
134,494,115,11.401854515075684,314,0,674,295
135,494,115,11.401854515075684,314,0,674,295
136,494,115,11.401854515075684,314,0,674,295
137,494,115,11.401854515075684,314,0,674,295
138,494,115,11.401854515075684,314,0,674,295
139,494,115,11.401854515075684,314,0,674,295
140,494,115,11.401854515075684,314,0,674,295
141,494,115,11.401854515075684,314,0,674,295
142,494,115,11.401854515075684,314,0,674,295
143,494,115,11.401854515075684,314,0,674,295
144,494,115,11.401854515075684,314,0,674,295
145,494,115,11.401854515075684,314,0,674,295
146,494,115,11.401854515075684,314,0,674,295
147,494,115,11.401854515075684,314,0,674,295
148,494,115,11.401854515075684,314,0,674,295
149,494,115,11.401854515075684,314,0,674,295
150,494,115,11.401854515075684,314,0,674,295
151,494,115,11.401854515075684,314,0,674,295
152,494,115,11.401854515075684,314,0,674,295
153,494,115,11.401854515075684,314,0,674,295
154,494,115,11.401854515075684,314,0,674,295
155,494,115,11.401854515075684,314,0,674,295
156,494,115,11.401854515075684,314,0,674,295
157,494,115,11.401854515075684,314,0,674,295
158,494,115,11.401854515075684,314,0,674,295
159,494,115,11.401854515075684,314,0,674,295
160,494,115,11.401854515075684,314,0,674,295
161,494,115,11.401854515075684,314,0,674,295
162,494,115,11.401854515075684,314,0,674,295
163,494,115,11.401854515075684,314,0,674,295
164,494,115,11.401854515075684,314,0,674,295
165,494,115,11.401854515075684,314,0,674,295
166,494,115,11.401854515075684,314,0,674,295
167,494,115,11.401854515075684,314,0,674,295
168,494,115,11.401854515075684,314,0,674,295
169,494,115,11.401854515075684,314,0,674,295
170,494,115,11.401854515075684,314,0,674,295
171,494,115,11.401854515075684,314,0,674,295
172,494,115,11.401854515075684,314,0,674,295
173,494,115,11.401854515075684,314,0,674,295
174,494,115,11.401854515075684,314,0,674,295
175,494,115,11.401854515075684,314,0,674,295
176,494,115,11.401854515075684,314,0,674,295
177,494,115,11.401854515075684,314,0,674,295
178,494,115,11.401854515075684,314,0,674,295
179,494,115,11.401854515075684,314,0,674,295
180,494,115,11.401854515075684,314,0,674,295
181,494,115,11.401854515075684,314,0,674,295
